1289 564
916 297
1046 158
162 260
958 393
956 437
1381 203
1553 295
2152 205
529 46
839 288
2464 195
51 132
2268 306
942 371
1777 295
1865 189
1351 240
424 197
1829 378
195 123
251 231
2290 784
371 841
2394 261
872 236
1493 6
1612 32
914 338
2065 248
1808 6
2280 391
1171 106
1014 211
206 6
1358 164
1185 32
2162 394
1031 197
1619 109
843 4
2269 1
996 288
593 258
1263 339
1848 637
1202 1468
2454 246
653 276
1558 6
1495 4
1878 336
2417 255
556 4
1287 282
2395 6
642 6
302 2250
374 288
2427 300
1761 6
183 192
551 292
1425 299
1948 266
102 46
2245 590
388 288
531 586
1416 4
2422 229
788 160
2034 765
2367 480
1261 151
809 850
820 308
524 1
1149 41
1140 32
1072 2118
1178 96
1536 31
1464 88
266 259
1404 207
1629 297
1196 6
2092 233
2137 225
1996 6
1545 6
1447 201
1283 231
1960 163
1905 306
235 46
121 32
1937 456
920 373
1986 1901
678 288
643 121
2287 456
2263 295
2469 242
918 169
2473 424
1621 2426
481 465
332 614
2393 92
1581 6
1015 17
1396 179
2168 457
1333 334
799 2090
87 185
1770 168
692 259
444 4
1253 139
1815 589
2257 133
22 6
2438 369
2011 292
1798 561
1895 358
1248 236
847 29
1650 6
482 476
2238 4
540 23
1990 155
818 4
1494 214
450 258
1606 32
464 238
880 331
2336 84
1311 6
26 4
1266 283
1944 743
2482 400
1221 4
2231 343
1866 323
2352 84
945 1463
257 1
1026 396
2332 387
1309 4
965 408
2112 179
2429 448
122 46
1418 66
580 4
168 424
296 922
1932 247
511 169
1446 32
2433 402
270 1880
33 4
721 115
817 207
300 532
707 6
644 140
939 411
453 156
1698 178
2219 225
28 155
2379 365
2249 532
2270 383
1001 6
136 702
2378 277
1476 154
775 159
281 439
1473 188
2081 229
1 557
1855 113
61 103
834 347
484 133
2004 225
666 316
1785 6
1694 925
1278 299
1106 244
1067 323
2312 1
275 120
2326 440
23 514
34 41
2327 232
385 6
991 32
1911 246
223 461
1799 137
632 819
